Core,ListA,ListB,ListC
COMM 130,COMM 103,COMM 100,COMM 100
,COMM 120,COMM 103,COMM 103
,COMM 132,COMM 110,COMM 110
,,COMM 120,COMM 115
,,COMM 125,WGS 115
,,COMM 132,COMM 120
,,COMM 140,COMM 125
,,COMM 231,COMM 132
,,COMM 232,COMM 140
,,COMM 233,COMM 145
,,,COMM 148
,,,COMM 200
,,,COMM 231
,,,COMM 232
,,,COMM 233
,,,ANTH 100
,,,ENGL 102
,,,JOUR 100
,,,PSYC 101
,,,SOC 101
